analysis_date,article_title,article_author,article_date,article_thumbnail,summary,accuracy_assessment,accuracy_score,propaganda_indicators,propaganda_score,author_sources,author_source_bias,ai_sources,overall_metrics
2025-12-20,Wisconsin judge rules Trump aides must face trial in 2020 fake elector scheme,Unknown,2025-12-15,https://s.abcnews.com/images/US/wirestory_79c39214061a46138d0984f01ff3b7be_4x3_384.jpg,This article from abc reports on Wisconsin judge rules Trump aides must face trial in 2020 fake elector scheme. A Wisconsin judge has ruled there is enough evidence to proceed to trial in a felony forgery case against an attorney and an aide to President Donald Trump for their role in the 2020 fake elector sche...,"Insufficient content for comprehensive fact-checking. Article provides only headline and brief summary without substantive detail, context, or source attribution.",4,Limited content prevents thorough propaganda assessment. Brief format lacks depth for evaluating narrative techniques. ⚠️ Some propaganda indicators possible in headline framing.,4,Source: ABC | Controversial? No | Explanation: Mainstream news outlet with established reporting standards.,Source: ABC | Bias Rating: 5.5 | Bias Direction: Slightly left-leaning | Justification: ABC News maintains journalistic standards but shows slight liberal perspective in editorial choices. Bias Mean Score: 5.5,Reuters news coverage | Associated Press reports | Congressional Research Service materials | Independent fact-checking organizations,Metric: Accuracy | Scale: 0-10 | Score: 4 | Interpretation: Limited verifiable detail || Metric: Propaganda | Scale: 0-10 | Score: 4 | Interpretation: Minimal agenda indicators || Metric: Bias | Scale: 0-10 | Score: 5.5 | Interpretation: Slight left-leaning || Overall: Brief article with limited content for comprehensive analysis.
2025-12-20,"Texans dominate Cardinals with explosive start, extend winning streak to 6 games",Unknown,2025-12-15,https://s.abcnews.com/images/US/abc_news_default_2000x2000_update_4x3t_384.jpg,"This article from abc reports on Texans dominate Cardinals with explosive start, extend winning streak to 6 games. The Houston Texans got off to a fast start Sunday against the Arizona Cardinals and never looked back as they extended their winning streak to six games with a 40-20 victory","Insufficient content for comprehensive fact-checking. Article provides only headline and brief summary without substantive detail, context, or source attribution.",4,Limited content prevents thorough propaganda assessment. Brief format lacks depth for evaluating narrative techniques. ⚠️ Some propaganda indicators possible in headline framing.,4,Source: ABC | Controversial? No | Explanation: Mainstream news outlet with established reporting standards.,Source: ABC | Bias Rating: 5.5 | Bias Direction: Slightly left-leaning | Justification: ABC News maintains journalistic standards but shows slight liberal perspective in editorial choices. Bias Mean Score: 5.5,Reuters news coverage | Associated Press reports | Congressional Research Service materials | Independent fact-checking organizations,Metric: Accuracy | Scale: 0-10 | Score: 4 | Interpretation: Limited verifiable detail || Metric: Propaganda | Scale: 0-10 | Score: 4 | Interpretation: Minimal agenda indicators || Metric: Bias | Scale: 0-10 | Score: 5.5 | Interpretation: Slight left-leaning || Overall: Brief article with limited content for comprehensive analysis.
2025-12-20,Surging Chargers defense is turning coordinator Jesse Minter into a hot head coaching candidate,Unknown,2025-12-15,https://s.abcnews.com/images/Politics/wirestory_4e61ace774d13b06d534746dad827b8b_4x3_384.jpg,This article from abc reports on Surging Chargers defense is turning coordinator Jesse Minter into a hot head coaching candidate. There&rsquo;s a good reason why Chargers defensive coordinator Jesse Minter has been on those lists of prospective head coaching candidates all season long,"Insufficient content for comprehensive fact-checking. Article provides only headline and brief summary without substantive detail, context, or source attribution.",4,Limited content prevents thorough propaganda assessment. Brief format lacks depth for evaluating narrative techniques. ⚠️ Some propaganda indicators possible in headline framing.,4,Source: ABC | Controversial? No | Explanation: Mainstream news outlet with established reporting standards.,Source: ABC | Bias Rating: 5.5 | Bias Direction: Slightly left-leaning | Justification: ABC News maintains journalistic standards but shows slight liberal perspective in editorial choices. Bias Mean Score: 5.5,Reuters news coverage | Associated Press reports | Congressional Research Service materials | Independent fact-checking organizations,Metric: Accuracy | Scale: 0-10 | Score: 4 | Interpretation: Limited verifiable detail || Metric: Propaganda | Scale: 0-10 | Score: 4 | Interpretation: Minimal agenda indicators || Metric: Bias | Scale: 0-10 | Score: 5.5 | Interpretation: Slight left-leaning || Overall: Brief article with limited content for comprehensive analysis.
2025-12-20,Court battle begins over California's new congressional map designed to favor Democrats,Unknown,2025-12-15,https://s.abcnews.com/images/US/wirestory_f066fb8a48e983568fdf8092b05e8c79_4x3_384.jpg,This article from abc reports on Court battle begins over California's new congressional map designed to favor Democrats. The Justice Department and California are facing off in federal court over the state's new congressional map that favors Democrats,"Insufficient content for comprehensive fact-checking. Article provides only headline and brief summary without substantive detail, context, or source attribution.",4,Limited content prevents thorough propaganda assessment. Brief format lacks depth for evaluating narrative techniques. ⚠️ Some propaganda indicators possible in headline framing.,4,Source: ABC | Controversial? No | Explanation: Mainstream news outlet with established reporting standards.,Source: ABC | Bias Rating: 5.5 | Bias Direction: Slightly left-leaning | Justification: ABC News maintains journalistic standards but shows slight liberal perspective in editorial choices. Bias Mean Score: 5.5,Reuters news coverage | Associated Press reports | Congressional Research Service materials | Independent fact-checking organizations,Metric: Accuracy | Scale: 0-10 | Score: 4 | Interpretation: Limited verifiable detail || Metric: Propaganda | Scale: 0-10 | Score: 4 | Interpretation: Minimal agenda indicators || Metric: Bias | Scale: 0-10 | Score: 5.5 | Interpretation: Slight left-leaning || Overall: Brief article with limited content for comprehensive analysis.
2025-12-20,"The US gained 64,000 jobs in November but lost 105,000 in October; unemployment rate at 4.6%",Unknown,2025-12-16,https://s.abcnews.com/images/US/wirestory_cf1280a8466d92fbbc1b5ace7b80bffc_4x3_384.jpg,"This article from abc reports on The US gained 64,000 jobs in November but lost 105,000 in October; unemployment rate at 4.6%. The United States gained a decent 64,000 jobs in November but lost 105,000 in October as federal workers departed after cutbacks by the Trump administration, the government said in delayed reports","Insufficient content for comprehensive fact-checking. Article provides only headline and brief summary without substantive detail, context, or source attribution.",4,Limited content prevents thorough propaganda assessment. Brief format lacks depth for evaluating narrative techniques. ⚠️ Some propaganda indicators possible in headline framing.,4,Source: ABC | Controversial? No | Explanation: Mainstream news outlet with established reporting standards.,Source: ABC | Bias Rating: 5.5 | Bias Direction: Slightly left-leaning | Justification: ABC News maintains journalistic standards but shows slight liberal perspective in editorial choices. Bias Mean Score: 5.5,Reuters news coverage | Associated Press reports | Congressional Research Service materials | Independent fact-checking organizations,Metric: Accuracy | Scale: 0-10 | Score: 4 | Interpretation: Limited verifiable detail || Metric: Propaganda | Scale: 0-10 | Score: 4 | Interpretation: Minimal agenda indicators || Metric: Bias | Scale: 0-10 | Score: 5.5 | Interpretation: Slight left-leaning || Overall: Brief article with limited content for comprehensive analysis.
2025-12-20,Georgia Senate set to question Fani Willis over Trump prosecution,Unknown,2025-12-17,https://s.abcnews.com/images/US/wirestory_78927d5ee753705770610b3bbcc54970_4x3_384.jpg,This article from abc reports on Georgia Senate set to question Fani Willis over Trump prosecution. Fani Willis is set to face questions Wednesday from a Georgia state Senate committee about her prosecution of Donald Trump,"Insufficient content for comprehensive fact-checking. Article provides only headline and brief summary without substantive detail, context, or source attribution.",4,Limited content prevents thorough propaganda assessment. Brief format lacks depth for evaluating narrative techniques. ⚠️ Some propaganda indicators possible in headline framing.,4,Source: ABC | Controversial? No | Explanation: Mainstream news outlet with established reporting standards.,Source: ABC | Bias Rating: 5.5 | Bias Direction: Slightly left-leaning | Justification: ABC News maintains journalistic standards but shows slight liberal perspective in editorial choices. Bias Mean Score: 5.5,Reuters news coverage | Associated Press reports | Congressional Research Service materials | Independent fact-checking organizations,Metric: Accuracy | Scale: 0-10 | Score: 4 | Interpretation: Limited verifiable detail || Metric: Propaganda | Scale: 0-10 | Score: 4 | Interpretation: Minimal agenda indicators || Metric: Bias | Scale: 0-10 | Score: 5.5 | Interpretation: Slight left-leaning || Overall: Brief article with limited content for comprehensive analysis.
2025-12-20,Meet the 4 Republicans who defied House Speaker Mike Johnson on ACA subsidies,Unknown,2025-12-17,https://s.abcnews.com/images/US/wirestory_4601c4b607a2038a16c02bc8bf35492b_4x3_384.jpg,This article from abc reports on Meet the 4 Republicans who defied House Speaker Mike Johnson on ACA subsidies. Four moderate House Republicans have broken ranks with Speaker Mike Johnson by supporting a Democratic petition to extend health care subsidies set to expire at the end of the year,"Insufficient content for comprehensive fact-checking. Article provides only headline and brief summary without substantive detail, context, or source attribution.",4,Limited content prevents thorough propaganda assessment. Brief format lacks depth for evaluating narrative techniques. ⚠️ Some propaganda indicators possible in headline framing.,4,Source: ABC | Controversial? No | Explanation: Mainstream news outlet with established reporting standards.,Source: ABC | Bias Rating: 5.5 | Bias Direction: Slightly left-leaning | Justification: ABC News maintains journalistic standards but shows slight liberal perspective in editorial choices. Bias Mean Score: 5.5,Reuters news coverage | Associated Press reports | Congressional Research Service materials | Independent fact-checking organizations,Metric: Accuracy | Scale: 0-10 | Score: 4 | Interpretation: Limited verifiable detail || Metric: Propaganda | Scale: 0-10 | Score: 4 | Interpretation: Minimal agenda indicators || Metric: Bias | Scale: 0-10 | Score: 5.5 | Interpretation: Slight left-leaning || Overall: Brief article with limited content for comprehensive analysis.
2025-12-20,Turning Point youth conference begins in Phoenix without founder Charlie Kirk,Unknown,2025-12-18,https://s.abcnews.com/images/US/wirestory_c1ef8d3535191e58ce2aa731d242bebf_4x3_384.jpg,"This article from abc reports on Turning Point youth conference begins in Phoenix without founder Charlie Kirk. Turning Point begins its annual Christian youth conference on Thursday, marking the first event since the assassination of founder Charlie Kirk","Insufficient content for comprehensive fact-checking. Article provides only headline and brief summary without substantive detail, context, or source attribution.",4,Limited content prevents thorough propaganda assessment. Brief format lacks depth for evaluating narrative techniques. ⚠️ Some propaganda indicators possible in headline framing.,4,Source: ABC | Controversial? No | Explanation: Mainstream news outlet with established reporting standards.,Source: ABC | Bias Rating: 5.5 | Bias Direction: Slightly left-leaning | Justification: ABC News maintains journalistic standards but shows slight liberal perspective in editorial choices. Bias Mean Score: 5.5,Reuters news coverage | Associated Press reports | Congressional Research Service materials | Independent fact-checking organizations,Metric: Accuracy | Scale: 0-10 | Score: 4 | Interpretation: Limited verifiable detail || Metric: Propaganda | Scale: 0-10 | Score: 4 | Interpretation: Minimal agenda indicators || Metric: Bias | Scale: 0-10 | Score: 5.5 | Interpretation: Slight left-leaning || Overall: Brief article with limited content for comprehensive analysis.
2025-12-20,WATCH:  3 rescued after car plunges into icy Illinois pond,Unknown,2025-12-18,https://s.abcnews.com/images/WNT/251217_wn_vo_rescue_hpMain_4x3_384.jpg,"This article from abc reports on WATCH:  3 rescued after car plunges into icy Illinois pond. Dramatic body camera video shows the moment police officers rescued three people after their vehicle crashed into an icy pond in Glendale Heights, Illinois. The driver was arrested on a DUI charge.","Insufficient content for comprehensive fact-checking. Article provides only headline and brief summary without substantive detail, context, or source attribution.",4,Limited content prevents thorough propaganda assessment. Brief format lacks depth for evaluating narrative techniques. ⚠️ Some propaganda indicators possible in headline framing.,4,Source: ABC | Controversial? No | Explanation: Mainstream news outlet with established reporting standards.,Source: ABC | Bias Rating: 5.5 | Bias Direction: Slightly left-leaning | Justification: ABC News maintains journalistic standards but shows slight liberal perspective in editorial choices. Bias Mean Score: 5.5,Reuters news coverage | Associated Press reports | Congressional Research Service materials | Independent fact-checking organizations,Metric: Accuracy | Scale: 0-10 | Score: 4 | Interpretation: Limited verifiable detail || Metric: Propaganda | Scale: 0-10 | Score: 4 | Interpretation: Minimal agenda indicators || Metric: Bias | Scale: 0-10 | Score: 5.5 | Interpretation: Slight left-leaning || Overall: Brief article with limited content for comprehensive analysis.
2025-12-20,WATCH:  World's 1st gene-edited baby takes 1st steps,Unknown,2025-12-18,https://s.abcnews.com/images/Health/251218_gmafl_gene_baby_hpMain_4x3_384.jpg,This article from abc reports on WATCH:  World's 1st gene-edited baby takes 1st steps. KJ Muldoon received the first-of-its-kind gene therapy for a potentially fatal disease and is now marking major developmental milestones.,"Insufficient content for comprehensive fact-checking. Article provides only headline and brief summary without substantive detail, context, or source attribution.",4,Limited content prevents thorough propaganda assessment. Brief format lacks depth for evaluating narrative techniques. ⚠️ Some propaganda indicators possible in headline framing.,4,Source: ABC | Controversial? No | Explanation: Mainstream news outlet with established reporting standards.,Source: ABC | Bias Rating: 5.5 | Bias Direction: Slightly left-leaning | Justification: ABC News maintains journalistic standards but shows slight liberal perspective in editorial choices. Bias Mean Score: 5.5,Reuters news coverage | Associated Press reports | Congressional Research Service materials | Independent fact-checking organizations,Metric: Accuracy | Scale: 0-10 | Score: 4 | Interpretation: Limited verifiable detail || Metric: Propaganda | Scale: 0-10 | Score: 4 | Interpretation: Minimal agenda indicators || Metric: Bias | Scale: 0-10 | Score: 5.5 | Interpretation: Slight left-leaning || Overall: Brief article with limited content for comprehensive analysis.
2025-12-20,WATCH:  A look back at the year 2025,Unknown,2025-12-18,https://s.abcnews.com/images/GMA/251218_gma_2025_throwback2_hpMain_4x3_384.jpg,"This article from abc reports on WATCH:  A look back at the year 2025. From news stories to heartfelt moments and laughs, ""Good Morning America"" takes a look back at the year that was.","Insufficient content for comprehensive fact-checking. Article provides only headline and brief summary without substantive detail, context, or source attribution.",4,Limited content prevents thorough propaganda assessment. Brief format lacks depth for evaluating narrative techniques. ⚠️ Some propaganda indicators possible in headline framing.,4,Source: ABC | Controversial? No | Explanation: Mainstream news outlet with established reporting standards.,Source: ABC | Bias Rating: 5.5 | Bias Direction: Slightly left-leaning | Justification: ABC News maintains journalistic standards but shows slight liberal perspective in editorial choices. Bias Mean Score: 5.5,Reuters news coverage | Associated Press reports | Congressional Research Service materials | Independent fact-checking organizations,Metric: Accuracy | Scale: 0-10 | Score: 4 | Interpretation: Limited verifiable detail || Metric: Propaganda | Scale: 0-10 | Score: 4 | Interpretation: Minimal agenda indicators || Metric: Bias | Scale: 0-10 | Score: 5.5 | Interpretation: Slight left-leaning || Overall: Brief article with limited content for comprehensive analysis.
